onset,time,hcom_velocity,hip_angle,knee_angle,hip_torque,knee_torque
0,2.335,-0.00961886,58.21403979,81.71061987,-0.466608043875969,0.052716462015504
0,2.34,-0.01030031,58.21371443,81.7123893,-0.466121107751938,0.052623411007752
0,2.345,-0.01098283,58.20845879,81.71311342,-0.465791619534884,0.052565528217054
0,2.35,-0.01165669,58.20927147,81.71178599,-0.465610206821705,0.052551023100775
0,2.355,-0.01231181,58.19643933,81.70874058,-0.465555060465116,0.052586751782946
0,2.36,-0.01293794,58.19787462,81.7083893,-0.465592656899225,0.052674639069768
0,2.365,-0.01352487,58.18248253,81.7061927,-0.465682639379845,0.05281127751938
0,2.37,-0.01406271,58.18320683,81.70471483,-0.465786179224806,0.052990411782946
0,2.375,-0.0145421,58.16651153,81.70226589,-0.465872427286822,0.053204780775194
0,2.38,-0.01495446,58.16240837,81.70166721,-0.465919300465116,0.053446296744186
0,2.385,-0.01529221,58.14731281,81.69617109,-0.465913014108527,0.053706598914729
0,2.39,-0.01554891,58.13403273,81.69347045,-0.465849756124031,0.053978855193799
0,2.395,-0.0157194,58.12421957,81.690882,-0.465735400620155,0.054258119379845
0,2.4,-0.0157998,58.11366175,81.68778816,-0.465582968682171,0.054540575193799
0,2.405,-0.01578753,58.10871713,81.68797486,-0.465408345271318,0.054822321085271
0,2.41,-0.01568124,58.09632716,81.68184148,-0.465224546356589,0.055097278449612
0,2.415,-0.01548075,58.09241806,81.68168716,-0.465036028837209,0.055355606666667
0,2.42,-0.01518707,58.08114547,81.67872994,-0.464834275813954,0.055583931162791
0,2.425,-0.01480234,58.06502472,81.6720819,-0.464595537674419,0.055766055658915
0,2.43,-0.01432989,58.05312067,81.66826055,-0.464282844186047,0.055884431937985
0,2.435,-0.01377413,58.04514166,81.6690196,-0.46385001255814,0.05592295131783
0,2.44,-0.01314044,58.03356219,81.66246531,-0.46324413875969,0.055869655503876
0,2.445,-0.01243502,58.02920997,81.66369314,-0.462406921550388,0.055717525271318
0,2.45,-0.01166465,58.01949768,81.65609255,-0.461275990852713,0.055463404651163
0,2.455,-0.01083658,58.01924842,81.65699401,-0.45978727255814,0.05510599627907
0,2.46,-0.00995831,58.00500686,81.65236781,-0.457879684031008,0.054645056124031
0,2.465,-0.00903748,58.00586812,81.65205585,-0.455500778604651,0.054081600620155
0,2.47,-0.00808176,57.99346564,81.64775024,-0.452611611937985,0.053417867131783
0,2.475,-0.00709874,57.99426815,81.6476517,-0.449192529457364,0.052657529457364
0,2.48,-0.00609585,57.99313459,81.65010488,-0.445250290077519,0.051806842015504
0,2.485,-0.00508022,57.9915536,81.6485064,-0.440824400620155,0.050876017209302
0,2.49,-0.00405869,57.99182982,81.64837759,-0.43599104,0.049880623255814
0,2.495,-0.00303777,57.98796953,81.64711058,-0.430863535193798,0.048843110697674
0,2.5,-0.00202372,57.9867945,81.64606868,-0.425589096589147,0.047794026511628
0,2.505,-0.00102254,57.98555839,81.64620003,-0.42033973751938,0.046771880775194
0,2.51,-4.002E-05,57.98381429,81.6450527,-0.415298631627907,0.045821213488372
0,2.515,0.00091825,57.98284972,81.64449947,-0.410644081085271,0.044988748682171
0,2.52,0.00184699,57.98344961,81.64394958,-0.406530674418605,0.044316695503876
0,2.525,0.00274127,57.98582605,81.64395923,-0.40306852248062,0.043834796124031
0,2.53,0.00359668,57.98567899,81.6440898,-0.40030371627907,0.04355283255814
0,2.535,0.00440949,57.99605083,81.64430635,-0.398206331162791,0.04345636496124
0,2.54,0.00517682,58.00485633,81.64424518,-0.396668715503876,0.043507287751938
0,2.545,0.00589683,58.0134398,81.64554203,-0.395512304806202,0.043648368682171
0,2.55,0.00656878,58.01561373,81.64424207,-0.394500189922481,0.043809610697675
0,2.555,0.00719308,58.02815528,81.64378263,-0.393355227906977,0.04391573875969
0,2.56,0.00777136,58.03936973,81.64318744,-0.391781589147287,0.04389349627907
0,2.565,0.00830647,58.05108163,81.64288468,-0.389487920930233,0.043678355968992
0,2.57,0.00880246,58.05228282,81.64228924,-0.386211059224806,0.043220731627907
0,2.575,0.00926458,58.07631566,81.64425586,-0.381737846666667,0.042490160310078
0,2.58,0.00969927,58.09632684,81.64313241,-0.375921705426357,0.04147640620155
0,2.585,0.01011406,58.10074902,81.63562279,-0.368695280775194,0.040189078914729
1,2.59,0.01051756,58.12253734,81.63529237,-0.360078120930233,0.038656000465116
1,2.595,0.01091926,58.14825489,81.63660236,-0.350178145116279,0.036920410542636
1,2.6,0.01132936,58.15295607,81.62800081,-0.339186645736434,0.035037709302326
1,2.605,0.01175865,58.18170456,81.6273871,-0.327367119224806,0.033071770232558
1,2.61,0.01221825,58.2126353,81.62557977,-0.315038602790698,0.031091491627907
1,2.615,0.01271947,58.21716079,81.61604712,-0.302553671782946,0.029167193023256
1,2.62,0.01327361,58.25321718,81.6122619,-0.290276539534884,0.027367948527132
